rank_test_score,mean_test_score,std_test_score,params
1,0.8842812665262727,0.003248996765935267,"{'model__class_weight': 'balanced', 'model__max_depth': 18, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}"
2,0.8825871537205824,0.004278713479331962,"{'model__class_weight': 'balanced', 'model__max_depth': 18, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}"
3,0.8715102489242585,0.011548624562386525,"{'model__class_weight': 'balanced', 'model__max_depth': 9, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}"
4,0.8635194097597647,0.007021721955233607,"{'model__class_weight': 'balanced', 'model__max_depth': 9, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}"
5,0.8502444001373345,0.014265831805808439,"{'model__class_weight': 'balanced', 'model__max_depth': 7, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}"
6,0.8482553407732956,0.014908900084336638,"{'model__class_weight': 'balanced', 'model__max_depth': 7, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}"
7,0.8323967062292651,0.01702979526750573,"{'model__class_weight': 'balanced', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}"
8,0.8235786117932161,0.02933464383004339,"{'model__class_weight': 'balanced', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}"
9,0.8226607049434767,0.048079689827465605,"{'model__class_weight': 'balanced', 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}"
10,0.7788533039353263,0.018952388439273344,"{'model__class_weight': 'balanced', 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}"
