rank_test_score,mean_test_score,std_test_score,params
1,0.9074493670786987,0.003967602861836947,"{'model__subsample': 0.7, 'model__n_estimators': 400, 'model__min_child_weight': 4, 'model__max_depth': 4, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.7999999999999999}"
2,0.9071443294990326,0.0034884699021988635,"{'model__subsample': 0.7, 'model__n_estimators': 300, 'model__min_child_weight': 4, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.7999999999999999}"
3,0.9067142290845001,0.003146011947633756,"{'model__subsample': 0.7999999999999999, 'model__n_estimators': 300, 'model__min_child_weight': 3, 'model__max_depth': 9, 'model__learning_rate': 0.03162277660168379, 'model__colsample_bytree': 0.7}"
4,0.9066106771022648,0.003468511213720108,"{'model__subsample': 0.6, 'model__n_estimators': 500, 'model__min_child_weight': 3, 'model__max_depth': 8, 'model__learning_rate': 0.03162277660168379, 'model__colsample_bytree': 0.6}"
5,0.9061675315381805,0.003845501422665905,"{'model__subsample': 0.7, 'model__n_estimators': 200, 'model__min_child_weight': 1, 'model__max_depth': 3, 'model__learning_rate': 0.31622776601683794, 'model__colsample_bytree': 0.6}"
6,0.9058518680544319,0.002494436483047152,"{'model__subsample': 0.8999999999999999, 'model__n_estimators': 400, 'model__min_child_weight': 2, 'model__max_depth': 8, 'model__learning_rate': 0.03162277660168379, 'model__colsample_bytree': 0.6}"
7,0.9057600436025549,0.0031423947639638112,"{'model__subsample': 0.7999999999999999, 'model__n_estimators': 300, 'model__min_child_weight': 4, 'model__max_depth': 4, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8999999999999999}"
8,0.9057446051485026,0.003493409700791072,"{'model__subsample': 0.7999999999999999, 'model__n_estimators': 500, 'model__min_child_weight': 4, 'model__max_depth': 6, 'model__learning_rate': 0.03162277660168379, 'model__colsample_bytree': 0.6}"
9,0.9052548185094175,0.003659484941637237,"{'model__subsample': 0.8999999999999999, 'model__n_estimators': 200, 'model__min_child_weight': 4, 'model__max_depth': 3, 'model__learning_rate': 0.31622776601683794, 'model__colsample_bytree': 0.8999999999999999}"
10,0.9050470046065497,0.0034455042068476647,"{'model__subsample': 0.7999999999999999, 'model__n_estimators': 400, 'model__min_child_weight': 4, 'model__max_depth': 6, 'model__learning_rate': 0.03162277660168379, 'model__colsample_bytree': 0.8999999999999999}"
11,0.9050250972694146,0.0032000039415940006,"{'model__subsample': 0.7, 'model__n_estimators': 100, 'model__min_child_weight': 1, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.7999999999999999}"
12,0.90501189963773,0.003515127951554182,"{'model__subsample': 0.7, 'model__n_estimators': 200, 'model__min_child_weight': 4, 'model__max_depth': 8, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.6}"
13,0.904908338356633,0.003169568141777499,"{'model__subsample': 0.8999999999999999, 'model__n_estimators': 500, 'model__min_child_weight': 2, 'model__max_depth': 6, 'model__learning_rate': 0.03162277660168379, 'model__colsample_bytree': 0.7999999999999999}"
14,0.9047946514351288,0.0028163682556033784,"{'model__subsample': 0.6, 'model__n_estimators': 500, 'model__min_child_weight': 2, 'model__max_depth': 5, 'model__learning_rate': 0.03162277660168379, 'model__colsample_bytree': 0.7}"
15,0.9045842610370937,0.0033355431098996257,"{'model__subsample': 0.8999999999999999, 'model__n_estimators': 400, 'model__min_child_weight': 4, 'model__max_depth': 3, 'model__learning_rate': 0.31622776601683794, 'model__colsample_bytree': 0.7}"
16,0.9045764579645642,0.0022212674531990433,"{'model__subsample': 0.6, 'model__n_estimators': 400, 'model__min_child_weight': 1, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8999999999999999}"
17,0.9044934323173326,0.0024941733927676853,"{'model__subsample': 0.6, 'model__n_estimators': 300, 'model__min_child_weight': 1, 'model__max_depth': 8, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.6}"
18,0.9043794111246788,0.0030770889387721416,"{'model__subsample': 0.6, 'model__n_estimators': 500, 'model__min_child_weight': 4, 'model__max_depth': 5, 'model__learning_rate': 0.03162277660168379, 'model__colsample_bytree': 0.7999999999999999}"
19,0.904134995291882,0.0032693586066666813,"{'model__subsample': 0.8999999999999999, 'model__n_estimators': 400, 'model__min_child_weight': 2, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8999999999999999}"
20,0.9038389374218087,0.0038854517504694295,"{'model__subsample': 0.7999999999999999, 'model__n_estimators': 200, 'model__min_child_weight': 2, 'model__max_depth': 9, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.7}"
21,0.9037971714986085,0.002298843669503511,"{'model__subsample': 0.8999999999999999, 'model__n_estimators': 200, 'model__min_child_weight': 2, 'model__max_depth': 9, 'model__learning_rate': 0.03162277660168379, 'model__colsample_bytree': 0.8999999999999999}"
