rank_test_score,mean_test_score,std_test_score,params
1,0.9060535795478332,0.0034494636370974293,"{'model__learning_rate': 0.3, 'model__max_depth': 3, 'model__n_estimators': 300}"
2,0.9059869513915778,0.0035309491663652283,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 300}"
3,0.9058137514500274,0.0034023628274574644,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 200}"
4,0.905467154925477,0.002467616463536181,"{'model__learning_rate': 0.3, 'model__max_depth': 3, 'model__n_estimators': 200}"
5,0.903946230808638,0.0018333597015129995,"{'model__learning_rate': 0.3, 'model__max_depth': 3, 'model__n_estimators': 100}"
6,0.9037797135955656,0.002141932112143042,"{'model__learning_rate': 0.3, 'model__max_depth': 5, 'model__n_estimators': 100}"
7,0.9037229060840316,0.0030691760484910426,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300}"
8,0.9025201586632278,0.0021589847000756677,"{'model__learning_rate': 0.3, 'model__max_depth': 5, 'model__n_estimators': 200}"
9,0.9023078134394213,0.0023508533154764926,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 100}"
10,0.9022413376190883,0.0035976328068447203,"{'model__learning_rate': 1, 'model__max_depth': 3, 'model__n_estimators': 100}"
11,0.9013144081720549,0.0024777308047299095,"{'model__learning_rate': 1, 'model__max_depth': 3, 'model__n_estimators': 200}"
12,0.9011475572903237,0.0023465495773850784,"{'model__learning_rate': 0.3, 'model__max_depth': 5, 'model__n_estimators': 300}"
13,0.9011148513608489,0.0038921905664678694,"{'model__learning_rate': 0.1, 'model__max_depth': 10, 'model__n_estimators': 100}"
14,0.9009211548031331,0.003449715059657413,"{'model__learning_rate': 0.1, 'model__max_depth': 10, 'model__n_estimators': 200}"
15,0.9004285075019818,0.0029408191993888053,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200}"
16,0.9001223500392767,0.002831757627240955,"{'model__learning_rate': 1, 'model__max_depth': 3, 'model__n_estimators': 300}"
17,0.8988589936443144,0.00291481506359631,"{'model__learning_rate': 0.1, 'model__max_depth': 10, 'model__n_estimators': 300}"
18,0.8980380409414981,0.0040740125192938355,"{'model__learning_rate': 0.3, 'model__max_depth': 10, 'model__n_estimators': 100}"
19,0.8969923284851655,0.002648768350041483,"{'model__learning_rate': 0.3, 'model__max_depth': 10, 'model__n_estimators': 200}"
20,0.8966350953104714,0.002725798814049555,"{'model__learning_rate': 0.3, 'model__max_depth': 10, 'model__n_estimators': 300}"
21,0.8955904023601977,0.004240942597580091,"{'model__learning_rate': 1, 'model__max_depth': 5, 'model__n_estimators': 100}"
22,0.8947616412017666,0.0033432844810966375,"{'model__learning_rate': 1, 'model__max_depth': 5, 'model__n_estimators': 200}"
23,0.8946734373993414,0.00266606100443798,"{'model__learning_rate': 1, 'model__max_depth': 5, 'model__n_estimators': 300}"
24,0.8944432959072598,0.0020758762281607975,"{'model__learning_rate': 1, 'model__max_depth': 10, 'model__n_estimators': 200}"
25,0.8934714645358028,0.0021355436377052846,"{'model__learning_rate': 1, 'model__max_depth': 10, 'model__n_estimators': 300}"
26,0.8931950945336894,0.0024310886625414007,"{'model__learning_rate': 1, 'model__max_depth': 10, 'model__n_estimators': 100}"
27,0.8922567152511179,0.002290893448071656,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100}"
